id	name	sport	event	sex	birthyear	height	weight	team	noc	games	year	season	city	medal
212	Yasser Abdel Rahman Sakr	Wrestling	Wrestling Men's Super-Heavyweight, Greco-Roman	M	1978	180	120	Egypt	EGY	2008 Summer	2008	Summer	Beijing	NA
213	Samy Abdel Razek	Shooting	Shooting Men's Free Pistol, 50 metres	M	1980	170	60	Egypt	EGY	2008 Summer	2008	Summer	Beijing	NA
225	Shaimaa Abdel-Latif-Hashad	Shooting	Shooting Women's Air Rifle, 10 metres	F	1981	165	57	Egypt	EGY	2008 Summer	2008	Summer	Beijing	NA
231	Mahmod Abdelaly	Shooting	Shooting Men's Air Pistol, 10 metres	M	1967	nan	nan	Egypt	EGY	2008 Summer	2008	Summer	Beijing	NA
233	Aziza Abdelfattah	Synchronized Swimming	Synchronized Swimming Women's Team	F	1991	159	51	Egypt	EGY	2008 Summer	2008	Summer	Beijing	NA
234	Abdalla Abdelgadir El-Sheikh	Athletics	Athletics Men's 1,500 metres	M	1987	170	58	Sudan	SUD	2008 Summer	2008	Summer	Beijing	NA
238	Mohamed Abdellah	Shooting	Shooting Men's Air Rifle, 10 metres	M	1968	170	70	Egypt	EGY	2008 Summer	2008	Summer	Beijing	NA
245	Abouelfetoh Abdelrazek	Handball	Handball Men's Handball	M	1987	nan	nan	Egypt	EGY	2008 Summer	2008	Summer	Beijing	NA
249	Mouni Abderrahim	Volleyball	Volleyball Women's Volleyball	F	1986	173	60	Algeria	ALG	2008 Summer	2008	Summer	Beijing	NA
252	Youcef Abdi	Athletics	Athletics Men's 3,000 metres Steeplechase	M	1978	178	66	Australia	AUS	2008 Summer	2008	Summer	Beijing	NA
256	Abdihakim "Abdi" Abdirahman	Athletics	Athletics Men's 10,000 metres	M	1977	178	61	United States	USA	2008 Summer	2008	Summer	Beijing	NA
257	Ali Abdo	Wrestling	Wrestling Men's Middleweight, Freestyle	M	1981	169	74	Australia	AUS	2008 Summer	2008	Summer	Beijing	NA
258	Hamza Abdo	Swimming	Swimming Men's 50 metres Freestyle	M	1991	nan	nan	Palestine	PLE	2008 Summer	2008	Summer	Beijing	NA
277	Shaimaa Abdul Aziz	Table Tennis	Table Tennis Women's Singles	F	1981	160	53	Egypt	EGY	2008 Summer	2008	Summer	Beijing	NA
299	Dana Abdul Razak (Hussain-)	Athletics	Athletics Women's 100 metres	F	1986	163	56	Iraq	IRQ	2008 Summer	2008	Summer	Beijing	NA
314	Rukayatu "Ruky" Abdulai	Athletics	Athletics Women's Long Jump	F	1986	180	59	Canada	CAN	2008 Summer	2008	Summer	Beijing	NA
321	Ahmad Hassan Abdullah	Athletics	Athletics Men's 10,000 metres	M	1981	164	55	Qatar	QAT	2008 Summer	2008	Summer	Beijing	NA
341	lqar Abdulov	Wrestling	Wrestling Men's Middleweight, Greco-Roman	M	1981	175	74	Azerbaijan	AZE	2008 Summer	2008	Summer	Beijing	NA
343	Abir Abdulrahman Khalil Mahmoud Khalil	Weightlifting	Weightlifting Women's Light-Heavyweight	F	1992	162	72	Egypt	EGY	2008 Summer	2008	Summer	Beijing	NA
346	Shaza Yahia Nazih Abdulrahman El-Sayed	Synchronized Swimming	Synchronized Swimming Women's Team	F	1993	170	59	Egypt	EGY	2008 Summer	2008	Summer	Beijing	NA
350	Mohamed Abdultwab Ibrahim Abd El-Baki	Weightlifting	Weightlifting Men's Featherweight	M	1987	162	69	Egypt	EGY	2008 Summer	2008	Summer	Beijing	NA
353	Rasul Abduraim	Taekwondo	Taekwondo Men's Featherweight	M	1989	183	74	Kyrgyzstan	KGZ	2008 Summer	2008	Summer	Beijing	NA
357	Yusup Abdusalomov	Wrestling	Wrestling Men's Light-Heavyweight, Freestyle	M	1978	170	84	Tajikistan	TJK	2008 Summer	2008	Summer	Beijing	Silver
371	Shinnosuke Abe	Baseball	Baseball Men's Baseball	M	1979	179	91	Japan	JPN	2008 Summer	2008	Summer	Beijing	NA
382	Soha Abed Elaal	Archery	Archery Women's Individual	F	1973	nan	nan	Egypt	EGY	2008 Summer	2008	Summer	Beijing	NA
390	Brooke Abel	Synchronized Swimming	Synchronized Swimming Women's Team	F	1988	163	52	United States	USA	2008 Summer	2008	Summer	Beijing	NA
395	Jennifer Abel	Diving	Diving Women's Springboard	F	1992	160	62	Canada	CAN	2008 Summer	2008	Summer	Beijing	NA
396	Katja Abel	Gymnastics	Gymnastics Women's Individual All-Around	F	1983	165	55	Germany	GER	2008 Summer	2008	Summer	Beijing	NA
396	Katja Abel	Gymnastics	Gymnastics Women's Team All-Around	F	1983	165	55	Germany	GER	2008 Summer	2008	Summer	Beijing	NA
396	Katja Abel	Gymnastics	Gymnastics Women's Floor Exercise	F	1983	165	55	Germany	GER	2008 Summer	2008	Summer	Beijing	NA
396	Katja Abel	Gymnastics	Gymnastics Women's Uneven Bars	F	1983	165	55	Germany	GER	2008 Summer	2008	Summer	Beijing	NA
396	Katja Abel	Gymnastics	Gymnastics Women's Balance Beam	F	1983	165	55	Germany	GER	2008 Summer	2008	Summer	Beijing	NA
402	Arthur Abele	Athletics	Athletics Men's Decathlon	M	1986	184	85	Germany	GER	2008 Summer	2008	Summer	Beijing	NA
428	Elvan Abeylegesse	Athletics	Athletics Women's 5,000 metres	F	1983	159	40	Turkey	TUR	2008 Summer	2008	Summer	Beijing	Silver
428	Elvan Abeylegesse	Athletics	Athletics Women's 10,000 metres	F	1983	159	40	Turkey	TUR	2008 Summer	2008	Summer	Beijing	NA
432	Koutoua Francis Abia	Canoeing	Canoeing Men's Kayak Singles, 500 metres	M	1966	180	80	Cote d'Ivoire	CIV	2008 Summer	2008	Summer	Beijing	NA
432	Koutoua Francis Abia	Canoeing	Canoeing Men's Kayak Singles, 1,000 metres	M	1966	180	80	Cote d'Ivoire	CIV	2008 Summer	2008	Summer	Beijing	NA
433	Pablo Abin Vicen	Badminton	Badminton Men's Singles	M	1985	177	68	Spain	ESP	2008 Summer	2008	Summer	Beijing	NA
439	Sagat Abikeyeva	Judo	Judo Women's Half-Heavyweight	F	1981	160	78	Kazakhstan	KAZ	2008 Summer	2008	Summer	Beijing	NA
440	Mitsuhiro Abiko	Athletics	Athletics Men's 4 x 400 metres Relay	M	1989	169	62	Japan	JPN	2008 Summer	2008	Summer	Beijing	NA
449	Inga Eduardovna Abitova	Athletics	Athletics Women's 10,000 metres	F	1982	164	58	Russia	RUS	2008 Summer	2008	Summer	Beijing	NA
471	Ashraf Abou El-Hassan	Volleyball	Volleyball Men's Volleyball	M	1975	186	86	Egypt	EGY	2008 Summer	2008	Summer	Beijing	NA
488	Ibrahim Mohamedin Aboubaker	Athletics	Athletics Men's Triple Jump	M	1983	190	65	Qatar	QAT	2008 Summer	2008	Summer	Beijing	NA
514	Ara Abrahamian	Wrestling	Wrestling Men's Light-Heavyweight, Greco-Roman	M	1975	191	84	Sweden	SWE	2008 Summer	2008	Summer	Beijing	NA
516	Clyde Abrahams	Hockey	Hockey Men's Hockey	M	1979	178	68	South Africa	RSA	2008 Summer	2008	Summer	Beijing	NA
541	Andrey Viktorovich Abramov	Archery	Archery Men's Individual	M	1984	176	70	Russia	RUS	2008 Summer	2008	Summer	Beijing	NA
541	Andrey Viktorovich Abramov	Archery	Archery Men's Team	M	1984	176	70	Russia	RUS	2008 Summer	2008	Summer	Beijing	NA
556	Arnaldo Lus Isaas Abrantes	Athletics	Athletics Men's 200 metres	M	1987	183	72	Portugal	POR	2008 Summer	2008	Summer	Beijing	NA
568	Morais Santos Abreu	Beach Volleyball	Beach Volleyball Men's Beach Volleyball	M	1968	188	73	Angola	ANG	2008 Summer	2008	Summer	Beijing	NA
580	Svetlana Olegovna Abrosimova	Basketball	Basketball Women's Basketball	F	1980	188	77	Russia	RUS	2008 Summer	2008	Summer	Beijing	Bronze
583	Julien Absalon	Cycling	Cycling Men's Mountainbike, Cross-Country	M	1981	180	68	France	FRA	2008 Summer	2008	Summer	Beijing	Gold
589	Najmeh Abtin	Archery	Archery Women's Individual	F	1983	160	57	Iran	IRI	2008 Summer	2008	Summer	Beijing	NA
590	Mohamed Abu Abdullah	Athletics	Athletics Men's 100 metres	M	1981	173	74	Bangladesh	BAN	2008 Summer	2008	Summer	Beijing	NA
600	Nagmeldin Ali Abubakr	Athletics	Athletics Men's 400 metres	M	1986	172	63	Sudan	SUD	2008 Summer	2008	Summer	Beijing	NA
604	Folashade "Shade" Abugan	Athletics	Athletics Women's 400 metres	F	1991	150	64	Nigeria	NGR	2008 Summer	2008	Summer	Beijing	NA
604	Folashade "Shade" Abugan	Athletics	Athletics Women's 4 x 400 metres Relay	F	1991	150	64	Nigeria	NGR	2008 Summer	2008	Summer	Beijing	NA
620	Kanat Kalizhanovich Abutalipov	Boxing	Boxing Men's Bantamweight	M	1983	168	56	Kazakhstan	KAZ	2008 Summer	2008	Summer	Beijing	NA
623	Irina Alekseyevna Abysova	Triathlon	Triathlon Women's Olympic Distance	F	1981	175	56	Russia	RUS	2008 Summer	2008	Summer	Beijing	NA
627	Andreea Roxana Acatrinei	Gymnastics	Gymnastics Women's Individual All-Around	F	1992	150	40	Romania	ROU	2008 Summer	2008	Summer	Beijing	NA
627	Andreea Roxana Acatrinei	Gymnastics	Gymnastics Women's Team All-Around	F	1992	150	40	Romania	ROU	2008 Summer	2008	Summer	Beijing	Bronze
627	Andreea Roxana Acatrinei	Gymnastics	Gymnastics Women's Floor Exercise	F	1992	150	40	Romania	ROU	2008 Summer	2008	Summer	Beijing	NA
627	Andreea Roxana Acatrinei	Gymnastics	Gymnastics Women's Balance Beam	F	1992	150	40	Romania	ROU	2008 Summer	2008	Summer	Beijing	NA
651	Jos Eduardo Acevedo Herrera	Athletics	Athletics Men's 200 metres	M	1986	179	65	Venezuela	VEN	2008 Summer	2008	Summer	Beijing	NA
663	Sharath Kamal Achanta	Table Tennis	Table Tennis Men's Singles	M	1982	186	85	India	IND	2008 Summer	2008	Summer	Beijing	NA
675	Onochie Lawrence "Larry" Achike	Athletics	Athletics Men's Triple Jump	M	1975	188	75	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	NA
687	Haykel Al-Achouri	Wrestling	Wrestling Men's Light-Heavyweight, Greco-Roman	M	1985	184	84	Tunisia	TUN	2008 Summer	2008	Summer	Beijing	NA
716	Lautaro Germn Acosta	Football	Football Men's Football	M	1988	168	72	Argentina	ARG	2008 Summer	2008	Summer	Beijing	Gold
719	Luz Mercedes Acosta Valdez	Weightlifting	Weightlifting Women's Middleweight	F	1981	164	63	Mexico	MEX	2008 Summer	2008	Summer	Beijing	NA
723	Osmay Acosta Duarte	Boxing	Boxing Men's Heavyweight	M	1985	188	91	Cuba	CUB	2008 Summer	2008	Summer	Beijing	Bronze
725	Roslandy del Valle Acosta Alvarado	Volleyball	Volleyball Women's Volleyball	F	1992	190	62	Venezuela	VEN	2008 Summer	2008	Summer	Beijing	NA
729	Robert Acquafresca	Football	Football Men's Football	M	1988	184	70	Italy	ITA	2008 Summer	2008	Summer	Beijing	NA
737	Amelia Lynn "Amy" Acuff (-Harvey)	Athletics	Athletics Women's High Jump	F	1975	188	66	United States	USA	2008 Summer	2008	Summer	Beijing	NA
738	Crox Ernesto Acua Rodrguez	Swimming	Swimming Men's 200 metres Freestyle	M	1990	192	89	Venezuela	VEN	2008 Summer	2008	Summer	Beijing	NA
759	Ahmed Adam	Swimming	Swimming Men's 50 metres Freestyle	M	1988	162	60	Sudan	SUD	2008 Summer	2008	Summer	Beijing	NA
761	Gal Adam	Swimming	Swimming Men's 100 metres Freestyle	M	1986	190	80	Mauritius	MRI	2008 Summer	2008	Summer	Beijing	NA
795	Tomasz Adamiec	Judo	Judo Men's Half-Lightweight	M	1982	171	69.5	Poland	POL	2008 Summer	2008	Summer	Beijing	NA
824	Luke Kendall Adams	Athletics	Athletics Men's 20 kilometres Walk	M	1977	189	70	Australia	AUS	2008 Summer	2008	Summer	Beijing	NA
824	Luke Kendall Adams	Athletics	Athletics Men's 50 kilometres Walk	M	1977	189	70	Australia	AUS	2008 Summer	2008	Summer	Beijing	NA
846	Valerie Kasanita Adams-Vili (-Price)	Athletics	Athletics Women's Shot Put	F	1985	193	120	New Zealand	NZL	2008 Summer	2008	Summer	Beijing	Gold
849	Filip Kamil Adamski	Rowing	Rowing Men's Coxless Fours	M	1983	189	87	Germany	GER	2008 Summer	2008	Summer	Beijing	NA
876	Jean Renaud Adde	Equestrianism	Equestrianism Mixed Three-Day Event, Individual	M	1971	181	70	France	FRA	2008 Summer	2008	Summer	Beijing	NA
876	Jean Renaud Adde	Equestrianism	Equestrianism Mixed Three-Day Event, Team	M	1971	181	70	France	FRA	2008 Summer	2008	Summer	Beijing	NA
888	Jangy McKinley Addy	Athletics	Athletics Men's Decathlon	M	1985	188	88	Liberia	LBR	2008 Summer	2008	Summer	Beijing	NA
896	Olubayo Adefemi	Football	Football Men's Football	M	1986	181	82	Nigeria	NGR	2008 Summer	2008	Summer	Beijing	Silver
908	Ayodele "Dele" Adeleye	Football	Football Men's Football	M	1989	190	80	Nigeria	NGR	2008 Summer	2008	Summer	Beijing	Silver
912	Beatrice Adelizzi	Synchronized Swimming	Synchronized Swimming Women's Duet	F	1989	175	67	Italy	ITA	2008 Summer	2008	Summer	Beijing	NA
929	Berhane Adere Debala	Athletics	Athletics Women's Marathon	F	1973	170	50	Ethiopia	ETH	2008 Summer	2008	Summer	Beijing	NA
939	Kamal Bahadur Adhikari	Weightlifting	Weightlifting Men's Lightweight	M	1977	163	69	Nepal	NEP	2008 Summer	2008	Summer	Beijing	NA
943	Arman Adikyan	Wrestling	Wrestling Men's Welterweight, Greco-Roman	M	1985	168	66	Armenia	ARM	2008 Summer	2008	Summer	Beijing	NA
980	Rebecca "Becky" Adlington	Swimming	Swimming Women's 400 metres Freestyle	F	1989	179	70	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Gold
980	Rebecca "Becky" Adlington	Swimming	Swimming Women's 800 metres Freestyle	F	1989	179	70	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Gold
1017	Nathan Ghar-Jun Adrian	Swimming	Swimming Men's 4 x 100 metres Freestyle Relay	M	1989	198	100	United States	USA	2008 Summer	2008	Summer	Beijing	Gold
1022	Sharnol Leonard Adriana	Baseball	Baseball Men's Baseball	M	1971	185	95	Netherlands	NED	2008 Summer	2008	Summer	Beijing	NA
1023	Adriana "Adrianinha" Moiss Pinto	Basketball	Basketball Women's Basketball	F	1979	170	65	Brazil	BRA	2008 Summer	2008	Summer	Beijing	NA
1024	Elisngela Maria Adriano	Athletics	Athletics Women's Discus Throw	F	1972	180	96	Brazil	BRA	2008 Summer	2008	Summer	Beijing	NA
1028	Fredua Koranteng "Freddy" Adu	Football	Football Men's Football	M	1989	170	66	United States	USA	2008 Summer	2008	Summer	Beijing	NA
1032	Serhiy Mykolaiovych Advena	Swimming	Swimming Men's 200 metres Freestyle	M	1984	190	82	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	NA
1032	Serhiy Mykolaiovych Advena	Swimming	Swimming Men's 200 metres Butterfly	M	1984	190	82	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	NA
1036	Olga Olegovna Adzhigerskaya	Handball	Handball Women's Handball	F	1982	192	65	Kazakhstan	KAZ	2008 Summer	2008	Summer	Beijing	NA
1039	Silulu A'etonu (-Grey)	Judo	Judo Women's Half-Middleweight	F	1984	170	59	American Samoa	ASA	2008 Summer	2008	Summer	Beijing	NA
1056	Mario Aerts	Cycling	Cycling Men's Road Race, Individual	M	1975	182	68	Belgium	BEL	2008 Summer	2008	Summer	Beijing	NA
1067	Hamed Afagh Eslamieh	Basketball	Basketball Men's Basketball	M	1983	188	82	Iran	IRI	2008 Summer	2008	Summer	Beijing	NA
1071	Kseniya Dmitriyevna Afanasyeva	Gymnastics	Gymnastics Women's Individual All-Around	F	1992	158	48	Russia	RUS	2008 Summer	2008	Summer	Beijing	NA
1071	Kseniya Dmitriyevna Afanasyeva	Gymnastics	Gymnastics Women's Team All-Around	F	1992	158	48	Russia	RUS	2008 Summer	2008	Summer	Beijing	NA
1071	Kseniya Dmitriyevna Afanasyeva	Gymnastics	Gymnastics Women's Floor Exercise	F	1992	158	48	Russia	RUS	2008 Summer	2008	Summer	Beijing	NA
1071	Kseniya Dmitriyevna Afanasyeva	Gymnastics	Gymnastics Women's Uneven Bars	F	1992	158	48	Russia	RUS	2008 Summer	2008	Summer	Beijing	NA
1071	Kseniya Dmitriyevna Afanasyeva	Gymnastics	Gymnastics Women's Balance Beam	F	1992	158	48	Russia	RUS	2008 Summer	2008	Summer	Beijing	NA
1097	Georgios Afroudakis	Water Polo	Water Polo Men's Water Polo	M	1977	194	103	Greece	GRE	2008 Summer	2008	Summer	Beijing	NA
1098	Khristos Afroudakis	Water Polo	Water Polo Men's Water Polo	M	1984	188	88	Greece	GRE	2008 Summer	2008	Summer	Beijing	NA
1114	Luca Agamennoni	Rowing	Rowing Men's Quadruple Sculls	M	1981	187	93	Italy	ITA	2008 Summer	2008	Summer	Beijing	Silver
1149	Neha Aggarwal	Table Tennis	Table Tennis Women's Singles	F	1990	170	67	India	IND	2008 Summer	2008	Summer	Beijing	NA
1164	Naroa Agirre Kamio	Athletics	Athletics Women's Pole Vault	F	1979	177	63	Spain	ESP	2008 Summer	2008	Summer	Beijing	NA
1169	Marilyn Agliotti	Hockey	Hockey Women's Hockey	F	1979	172	58	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Gold
1190	Simon Agoston	Triathlon	Triathlon Men's Olympic Distance	M	1977	179	64	Austria	AUT	2008 Summer	2008	Summer	Beijing	NA
1203	Renzo Pasquale Zeglio Agresta	Fencing	Fencing Men's Sabre, Individual	M	1985	181	76	Brazil	BRA	2008 Summer	2008	Summer	Beijing	NA
1204	Lindy Brigitte Agricole (Leveau-)	Athletics	Athletics Women's Javelin Throw	F	1974	175	70	Seychelles	SEY	2008 Summer	2008	Summer	Beijing	NA
1212	Ral Alfonso Aguayo Saladin	Sailing	Sailing Men's One Person Dinghy	M	1981	189	82	Dominican Republic	DOM	2008 Summer	2008	Summer	Beijing	NA
1220	Sergio Leonel Agero del Castillo	Football	Football Men's Football	M	1988	172	74	Argentina	ARG	2008 Summer	2008	Summer	Beijing	Gold
1221	Taismary "Tai" Agero Leiva (-Botteghi)	Volleyball	Volleyball Women's Volleyball	F	1977	175	70	Italy	ITA	2008 Summer	2008	Summer	Beijing	NA
1234	Alessandra Aguilar Morn	Athletics	Athletics Women's Marathon	F	1978	165	50	Spain	ESP	2008 Summer	2008	Summer	Beijing	NA
1240	Elisabeth "Elisa" Aguilar Lpez	Basketball	Basketball Women's Basketball	F	1977	172	75	Spain	ESP	2008 Summer	2008	Summer	Beijing	NA
1247	Iaki Aguilar Vicente	Water Polo	Water Polo Men's Water Polo	M	1984	189	82	Spain	ESP	2008 Summer	2008	Summer	Beijing	NA
1251	Karel Aguilar Chacn	Canoeing	Canoeing Men's Canadian Doubles, 500 metres	M	1980	175	85	Cuba	CUB	2008 Summer	2008	Summer	Beijing	NA
1251	Karel Aguilar Chacn	Canoeing	Canoeing Men's Canadian Doubles, 1,000 metres	M	1980	175	85	Cuba	CUB	2008 Summer	2008	Summer	Beijing	NA
1269	Jessica Carolina Aguilera Aguilera	Athletics	Athletics Women's 100 metres	F	1985	167	57	Nicaragua	NCA	2008 Summer	2008	Summer	Beijing	NA
1278	Damaris Gabriela Aguirre Aldaz	Weightlifting	Weightlifting Women's Heavyweight	F	1977	163	75	Mexico	MEX	2008 Summer	2008	Summer	Beijing	NA
1283	Jeinkler Ernesto Aguirre Manso	Diving	Diving Men's Platform	M	1990	165	57	Cuba	CUB	2008 Summer	2008	Summer	Beijing	NA
1290	Marcelo Vctor Aguirre	Table Tennis	Table Tennis Men's Singles	M	1993	174	66	Paraguay	PAR	2008 Summer	2008	Summer	Beijing	NA
1313	Robyn Mokihana Ah Mow-Santos	Volleyball	Volleyball Women's Volleyball	F	1976	172	67	United States	USA	2008 Summer	2008	Summer	Beijing	Silver
1314	Juliette Chantal Ah-Wan	Badminton	Badminton Mixed Doubles	F	1981	155	57	Seychelles	SEY	2008 Summer	2008	Summer	Beijing	NA
1316	Feta Ahamada	Athletics	Athletics Women's 100 metres	F	1987	160	50	Comoros	COM	2008 Summer	2008	Summer	Beijing	NA
1317	Younes Al-Ahamdi	Judo	Judo Men's Extra-Lightweight	M	1976	167	60	Morocco	MAR	2008 Summer	2008	Summer	Beijing	NA
1354	Johanna Maria Helne Ahlm	Handball	Handball Women's Handball	F	1988	175	69	Sweden	SWE	2008 Summer	2008	Summer	Beijing	NA
1356	Christian Ahlmann	Equestrianism	Equestrianism Mixed Jumping, Individual	M	1975	189	80	Germany	GER	2008 Summer	2008	Summer	Beijing	NA
1356	Christian Ahlmann	Equestrianism	Equestrianism Mixed Jumping, Team	M	1975	189	80	Germany	GER	2008 Summer	2008	Summer	Beijing	NA
1381	Abdalla Ahmed	Volleyball	Volleyball Men's Volleyball	M	1984	198	72	Egypt	EGY	2008 Summer	2008	Summer	Beijing	NA
1382	Abdel Latif Ahmed	Volleyball	Volleyball Men's Volleyball	M	1984	202	90	Egypt	EGY	2008 Summer	2008	Summer	Beijing	NA
1398	Heba Ahmed	Rowing	Rowing Women's Single Sculls	F	1985	176	72	Egypt	EGY	2008 Summer	2008	Summer	Beijing	NA
1410	Nasir Ahmed	Hockey	Hockey Men's Hockey	M	1985	165	65	Pakistan	PAK	2008 Summer	2008	Summer	Beijing	NA
1419	Zemzem Ahmed Deko	Athletics	Athletics Women's 3,000 metres Steeplechase	F	1985	170	53	Ethiopia	ETH	2008 Summer	2008	Summer	Beijing	NA
1445	Gaby Diana Ahrens	Shooting	Shooting Women's Trap	F	1981	169	60	Namibia	NAM	2008 Summer	2008	Summer	Beijing	NA
1460	Johannes Ahun	Sailing	Sailing Men's Windsurfer	M	1988	187	76	Estonia	EST	2008 Summer	2008	Summer	Beijing	NA
1467	Mara Magdalena Aicega Amicarelli	Hockey	Hockey Women's Hockey	F	1974	165	60	Argentina	ARG	2008 Summer	2008	Summer	Beijing	Bronze
1498	Charles Benedict "Ben" Ainslie	Sailing	Sailing Mixed One Person Dinghy	M	1977	183	90	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Gold
1514	Tassadit Assou	Volleyball	Volleyball Women's Volleyball	F	1989	184	80	Algeria	ALG	2008 Summer	2008	Summer	Beijing	NA
1518	Kamel Ait Daoud	Rowing	Rowing Men's Lightweight Double Sculls	M	1985	180	70	Algeria	ALG	2008 Summer	2008	Summer	Beijing	NA
1527	Souad At Salem (-Mahour-Bacha)	Athletics	Athletics Women's Marathon	F	1979	158	50	Algeria	ALG	2008 Summer	2008	Summer	Beijing	NA
1535	Kiera Leigh Aitken	Swimming	Swimming Women's 100 metres Backstroke	F	1984	167	55	Bermuda	BER	2008 Summer	2008	Summer	Beijing	NA
1539	Marina Aleksandrovna Aitova (Korzhova-)	Athletics	Athletics Women's High Jump	F	1983	177	58	Kazakhstan	KAZ	2008 Summer	2008	Summer	Beijing	NA
1540	Artur Surenovych Aivazian	Shooting	Shooting Men's Air Rifle, 10 metres	M	1973	177	88	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	NA
1540	Artur Surenovych Aivazian	Shooting	Shooting Men's Small-Bore Rifle, Three Positions, 50 metres	M	1973	177	88	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	NA
1540	Artur Surenovych Aivazian	Shooting	Shooting Men's Small-Bore Rifle, Prone, 50 metres	M	1973	177	88	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	Gold
1556	Ebenezer Oluwafemi "Femi" Ajilore	Football	Football Men's Football	M	1985	185	75	Nigeria	NGR	2008 Summer	2008	Summer	Beijing	Silver
1566	Kouadio Vincent Aka-Akesse	Wrestling	Wrestling Men's Heavyweight, Freestyle	M	1976	180	96	France	FRA	2008 Summer	2008	Summer	Beijing	NA
