name	games	sport	medal
Crox Ernesto Acua Rodrguez	2008 Summer	Swimming	NA
Ahmed Adam	2008 Summer	Swimming	NA
Gal Adam	2008 Summer	Swimming	NA
Tomasz Adamiec	2008 Summer	Judo	NA
Luke Kendall Adams	2008 Summer	Athletics	NA
Luke Kendall Adams	2008 Summer	Athletics	NA
Valerie Kasanita Adams-Vili (-Price)	2008 Summer	Athletics	Gold
Filip Kamil Adamski	2008 Summer	Rowing	NA
Jean Renaud Adde	2008 Summer	Equestrianism	NA
Jean Renaud Adde	2008 Summer	Equestrianism	NA
Jangy McKinley Addy	2008 Summer	Athletics	NA
Olubayo Adefemi	2008 Summer	Football	Silver
Ayodele "Dele" Adeleye	2008 Summer	Football	Silver
Beatrice Adelizzi	2008 Summer	Synchronized Swimming	NA
Berhane Adere Debala	2008 Summer	Athletics	NA
Kamal Bahadur Adhikari	2008 Summer	Weightlifting	NA
Arman Adikyan	2008 Summer	Wrestling	NA
Rebecca "Becky" Adlington	2008 Summer	Swimming	Gold
Rebecca "Becky" Adlington	2008 Summer	Swimming	Gold
Nathan Ghar-Jun Adrian	2008 Summer	Swimming	Gold
Sharnol Leonard Adriana	2008 Summer	Baseball	NA
Adriana "Adrianinha" Moiss Pinto	2008 Summer	Basketball	NA
Elisngela Maria Adriano	2008 Summer	Athletics	NA
Fredua Koranteng "Freddy" Adu	2008 Summer	Football	NA
Serhiy Mykolaiovych Advena	2008 Summer	Swimming	NA
Serhiy Mykolaiovych Advena	2008 Summer	Swimming	NA
Olga Olegovna Adzhigerskaya	2008 Summer	Handball	NA
Silulu A'etonu (-Grey)	2008 Summer	Judo	NA
Mario Aerts	2008 Summer	Cycling	NA
Hamed Afagh Eslamieh	2008 Summer	Basketball	NA
Kseniya Dmitriyevna Afanasyeva	2008 Summer	Gymnastics	NA
Kseniya Dmitriyevna Afanasyeva	2008 Summer	Gymnastics	NA
Kseniya Dmitriyevna Afanasyeva	2008 Summer	Gymnastics	NA
Kseniya Dmitriyevna Afanasyeva	2008 Summer	Gymnastics	NA
Kseniya Dmitriyevna Afanasyeva	2008 Summer	Gymnastics	NA
Georgios Afroudakis	2008 Summer	Water Polo	NA
Khristos Afroudakis	2008 Summer	Water Polo	NA
Luca Agamennoni	2008 Summer	Rowing	Silver
Neha Aggarwal	2008 Summer	Table Tennis	NA
Naroa Agirre Kamio	2008 Summer	Athletics	NA
Marilyn Agliotti	2008 Summer	Hockey	Gold
Simon Agoston	2008 Summer	Triathlon	NA
Renzo Pasquale Zeglio Agresta	2008 Summer	Fencing	NA
Lindy Brigitte Agricole (Leveau-)	2008 Summer	Athletics	NA
Ral Alfonso Aguayo Saladin	2008 Summer	Sailing	NA
Sergio Leonel Agero del Castillo	2008 Summer	Football	Gold
Taismary "Tai" Agero Leiva (-Botteghi)	2008 Summer	Volleyball	NA
Alessandra Aguilar Morn	2008 Summer	Athletics	NA
Elisabeth "Elisa" Aguilar Lpez	2008 Summer	Basketball	NA
Iaki Aguilar Vicente	2008 Summer	Water Polo	NA
Karel Aguilar Chacn	2008 Summer	Canoeing	NA
Karel Aguilar Chacn	2008 Summer	Canoeing	NA
Jessica Carolina Aguilera Aguilera	2008 Summer	Athletics	NA
Damaris Gabriela Aguirre Aldaz	2008 Summer	Weightlifting	NA
Jeinkler Ernesto Aguirre Manso	2008 Summer	Diving	NA
Marcelo Vctor Aguirre	2008 Summer	Table Tennis	NA
Robyn Mokihana Ah Mow-Santos	2008 Summer	Volleyball	Silver
Juliette Chantal Ah-Wan	2008 Summer	Badminton	NA
Feta Ahamada	2008 Summer	Athletics	NA
Younes Al-Ahamdi	2008 Summer	Judo	NA
Johanna Maria Helne Ahlm	2008 Summer	Handball	NA
Christian Ahlmann	2008 Summer	Equestrianism	NA
Christian Ahlmann	2008 Summer	Equestrianism	NA
Abdalla Ahmed	2008 Summer	Volleyball	NA
Abdel Latif Ahmed	2008 Summer	Volleyball	NA
Heba Ahmed	2008 Summer	Rowing	NA
Nasir Ahmed	2008 Summer	Hockey	NA
Zemzem Ahmed Deko	2008 Summer	Athletics	NA
Gaby Diana Ahrens	2008 Summer	Shooting	NA
Johannes Ahun	2008 Summer	Sailing	NA
Mara Magdalena Aicega Amicarelli	2008 Summer	Hockey	Bronze
Charles Benedict "Ben" Ainslie	2008 Summer	Sailing	Gold
Tassadit Assou	2008 Summer	Volleyball	NA
Kamel Ait Daoud	2008 Summer	Rowing	NA
Souad At Salem (-Mahour-Bacha)	2008 Summer	Athletics	NA
Kiera Leigh Aitken	2008 Summer	Swimming	NA
Marina Aleksandrovna Aitova (Korzhova-)	2008 Summer	Athletics	NA
Artur Surenovych Aivazian	2008 Summer	Shooting	NA
Artur Surenovych Aivazian	2008 Summer	Shooting	NA
Artur Surenovych Aivazian	2008 Summer	Shooting	Gold
Ebenezer Oluwafemi "Femi" Ajilore	2008 Summer	Football	Silver
Kouadio Vincent Aka-Akesse	2008 Summer	Wrestling	NA
Yukiko Akaba	2008 Summer	Athletics	NA
Yukiko Akaba	2008 Summer	Athletics	NA
Salman Akbar	2008 Summer	Hockey	NA
Waqar Akbar	2008 Summer	Hockey	NA
Patsy Serafina Akeli	2008 Summer	Athletics	NA
Bilal Akgl	2008 Summer	Cycling	NA
Sezer Akgl	2008 Summer	Wrestling	NA
Giorgos Akhilleos	2008 Summer	Shooting	NA
Bakhtiyar Shakhabutdinovich Akhmedov	2008 Summer	Wrestling	Silver
Bakhyt Beshimbekovich Akhmetov	2008 Summer	Weightlifting	NA
Doli Akhtar	2008 Summer	Swimming	NA
Mildred Akinyi "Milka" Alango	2008 Summer	Taekwondo	NA
Halil Akka	2008 Summer	Athletics	NA
Khadzhimurat Magomedovich Akkayev	2008 Summer	Weightlifting	Bronze
Anastasiya Sergeyevna Aksenova	2008 Summer	Swimming	NA
Anastasiya Sergeyevna Aksenova	2008 Summer	Swimming	NA
Anastasiya Sergeyevna Aksenova	2008 Summer	Swimming	NA
Anastasiya Sergeyevna Aksenova	2008 Summer	Swimming	NA
Merey Akshalov	2008 Summer	Boxing	NA
Ohenewa Akuffo	2008 Summer	Wrestling	NA
Marina Sergeyevna Akulova	2008 Summer	Volleyball	NA
Ali Ahmed Al-Amri	2008 Summer	Athletics	NA
Nasser Salih Nasser Abdullah Al-Attiya	2008 Summer	Shooting	NA
Wael Al-Aydy	2008 Summer	Volleyball	NA
Mohamed Mutlaq Khalaf Al-Azemi	2008 Summer	Athletics	NA
Sameera Zayid Al-Bitar	2008 Summer	Swimming	NA
Fadwa Al-Bouza	2008 Summer	Athletics	NA
Dadallah Noor Mohamed Al-Bulushi	2008 Summer	Shooting	NA
Sultan Mubarak M. Al-Dawoodi	2008 Summer	Athletics	NA
Rashid Shafi Al-Dosari	2008 Summer	Athletics	NA
Ramzy Al-Duhami	2008 Summer	Equestrianism	NA
Ramzy Al-Duhami	2008 Summer	Equestrianism	NA
Talal Al-Enezi	2008 Summer	Judo	NA
Abdulsalam Al-Gadabi	2008 Summer	Swimming	NA
Rakia Al-Gassra	2008 Summer	Athletics	NA
Sultan Abdulmajeed E. Al-Habshi	2008 Summer	Athletics	NA
Mohammed bin Naseeb Al-Habsi	2008 Summer	Swimming	NA
Khalid Issa A. H. Al-Hamadi	2008 Summer	Fencing	NA
Khalil Ahmed Al-Hanahneh	2008 Summer	Athletics	NA
Nashwan Haidar Al-Harazi	2008 Summer	Gymnastics	NA
Nashwan Haidar Al-Harazi	2008 Summer	Gymnastics	NA
Nashwan Haidar Al-Harazi	2008 Summer	Gymnastics	NA
Nashwan Haidar Al-Harazi	2008 Summer	Gymnastics	NA
Ibrahim Al-Hasan	2008 Summer	Table Tennis	NA
Obaid Ahmed Obaid Al-Jasmi	2008 Summer	Swimming	NA
Ahmed bin Hasher Al-Maktoum	2008 Summer	Shooting	NA
Ahmed bin Hasher Al-Maktoum	2008 Summer	Shooting	NA
Latifah bint Ahmed bin Juma Al-Maktoum	2008 Summer	Equestrianism	NA
Maitha bint Mohammed bin Rashid Al-Maktoum	2008 Summer	Taekwondo	NA
Saeed bin Hasher Al-Maktoum	2008 Summer	Shooting	NA
Nader Abdullah Al-Massri	2008 Summer	Athletics	NA
Naser Al-Meqlad	2008 Summer	Shooting	NA
Bader Abdulrahman Al-Muhana	2008 Summer	Swimming	NA
Riyadh Al-Mustafa	2008 Summer	Athletics	NA
Sayed Al-Mutairi Bariq	2008 Summer	Shooting	NA
Zaid Al-Mutairi	2008 Summer	Shooting	NA
Moukheld Mahil F. Al-Outaibi	2008 Summer	Athletics	NA
Saeed Rashed Al-Qubaisi	2008 Summer	Judo	NA
Abdullah Al-Rashidi	2008 Summer	Shooting	NA
Hussain Taher Al-Sabee	2008 Summer	Athletics	NA
Omar Jouma Bilal Al-Salfa	2008 Summer	Athletics	NA
Mohamed Abdullah Obaid Al-Salhi (Kosgei-)	2008 Summer	Athletics	NA
Prince Abdullah Bin Moteb Al-Saud	2008 Summer	Equestrianism	NA
Prince Abdullah Bin Moteb Al-Saud	2008 Summer	Equestrianism	NA
Prince Faisal Al-Shalan	2008 Summer	Equestrianism	NA
Prince Faisal Al-Shalan	2008 Summer	Equestrianism	NA
Abdullah Said Al-Sooli	2008 Summer	Athletics	NA
Mohamed Issa Al-Thawadi	2008 Summer	Athletics	NA
Mohammed Ahmed Al-Yafaee	2008 Summer	Athletics	NA
Buthayna Eid Al-Yaqoubi	2008 Summer	Athletics	NA
Ali Mohamed Gharib Al-Zinkawi	2008 Summer	Athletics	NA
Tapani Jarkko Ala-Huikku	2008 Summer	Wrestling	NA
Marina Alabau Neira	2008 Summer	Sailing	NA
Mariem Alaoui Selsouli	2008 Summer	Athletics	NA
Osama Mohammed Ye Alarag	2008 Summer	Swimming	NA
David Alarza Palacios	2008 Summer	Judo	NA
Miguel ngel Albarracn	2008 Summer	Judo	NA
Dag Edward Albert	2008 Summer	Equestrianism	NA
Dag Edward Albert	2008 Summer	Equestrianism	NA
Marko Albert	2008 Summer	Triathlon	NA
Samantha Albert (Majendie-)	2008 Summer	Equestrianism	NA
Islam-Beka Said-Tsilimovich Albiyev	2008 Summer	Wrestling	Gold
Samuel Albrecht	2008 Summer	Sailing	NA
Yamil Aldama Pozo (-Dodds)	2008 Summer	Athletics	NA
Moiss Aldape Chvez	2008 Summer	Cycling	NA
Ibrahim Erikovych Aldatov	2008 Summer	Wrestling	NA
Blake Aldridge	2008 Summer	Diving	NA
David Alegre Biosca	2008 Summer	Hockey	Silver
Ramn Alegre Biosca	2008 Summer	Hockey	Silver
Jo Qesem Ayela Aleh	2008 Summer	Sailing	NA
Virgilijus Alekna	2008 Summer	Athletics	Bronze
Mikhail Plamenov Aleksandrov	2008 Summer	Swimming	NA
Mikhail Plamenov Aleksandrov	2008 Summer	Swimming	NA
Mikhail Plamenov Aleksandrov	2008 Summer	Swimming	NA
Denis Sergeyevich Alekseyev	2008 Summer	Athletics	NA
Denis Sergeyevich Alekseyev	2008 Summer	Athletics	NA
Todor Nikolaev Aleksiev	2008 Summer	Volleyball	NA
Octavio Andrs Alesi Gonzlez	2008 Summer	Swimming	NA
Alessandra Medeiros da Oliveira	2008 Summer	Handball	NA
Kineke Alicia Alexander	2008 Summer	Athletics	NA
Richard Ian M. Alexander	2008 Summer	Hockey	NA
Buffy-Lynne Alexander-Williams	2008 Summer	Rowing	NA
Alexandra Priscila do Nascimento	2008 Summer	Handball	NA
Alexandre "Alexandre Pato" Rodrigues da Silva	2008 Summer	Football	Bronze
Lavrentis Alexanidis	2008 Summer	Judo	NA
Robert Leodan Alfonso Acea	2008 Summer	Boxing	NA
Linda Camilla Algotsson	2008 Summer	Equestrianism	NA
Linda Camilla Algotsson	2008 Summer	Equestrianism	NA
Mohamed Alhousseini Alhassan	2008 Summer	Swimming	NA
Aziz Ali	2008 Summer	Boxing	NA
Belal Mansoor Ali	2008 Summer	Athletics	NA
Belal Mansoor Ali	2008 Summer	Athletics	NA
Ghada Ali	2008 Summer	Athletics	NA
Lahoussine Xavier Ali	2008 Summer	Fencing	NA
Annabel Laure Ali	2008 Summer	Wrestling	NA
Sadam Ali	2008 Summer	Boxing	NA
Thamer Kamal Ali	2008 Summer	Athletics	NA
Fathia Ali Bouraleh	2008 Summer	Athletics	NA
Ahmed Ali Ahmed Saleh	2008 Summer	Table Tennis	NA
Hamza Ali	2008 Summer	Athletics	NA
Yuruby Rosaura Alicart Ramrez	2008 Summer	Softball	NA
Cora Alicto	2008 Summer	Athletics	NA
Adnan Aliev	2008 Summer	Canoeing	NA
Adnan Aliev	2008 Summer	Canoeing	NA
Mirko Alilovi	2008 Summer	Handball	NA
Nataliya Adamovna Alimova (-Trandenkova)	2008 Summer	Volleyball	NA
Aline Silva dos Santos	2008 Summer	Handball	NA
Aleksey Aleksandrovich Alipov	2008 Summer	Shooting	Bronze
Penny Alison	2008 Summer	Sailing	NA
Margarita Sergeyevna Aliychuk	2008 Summer	Rhythmic Gymnastics	Gold
Martti Aljand	2008 Summer	Swimming	NA
Martti Aljand	2008 Summer	Swimming	NA
Triin Aljand	2008 Summer	Swimming	NA
Triin Aljand	2008 Summer	Swimming	NA
Triin Aljand	2008 Summer	Swimming	NA
Agnese Allegrini	2008 Summer	Badminton	NA
Katherine Jessie Jean "Kate" Allen (-Diechtler)	2008 Summer	Triathlon	NA
Wyatt Allen	2008 Summer	Rowing	Bronze
Sandra Louise "Sandy" Allen-Lewis	2008 Summer	Softball	Bronze
Thomas Allier	2008 Summer	Cycling	NA
Olivia Elizabeth N. Allison-Federici	2008 Summer	Synchronized Swimming	NA
Audrey Alloh	2008 Summer	Athletics	NA
Amandine Allou Affou	2008 Summer	Athletics	NA
Bradley Kevin Ally	2008 Summer	Swimming	NA
Bradley Kevin Ally	2008 Summer	Swimming	NA
Nicols Almagro Snchez	2008 Summer	Tennis	NA
Nicols Almagro Snchez	2008 Summer	Tennis	NA
Carlos Fernandes Esteves de Almeida	2008 Summer	Swimming	NA
Carlos Domingos Bendinha de Almeida	2008 Summer	Basketball	NA
Jlio Antonio de Sourza e Almeida	2008 Summer	Shooting	NA
Jlio Antonio de Sourza e Almeida	2008 Summer	Shooting	NA
Jlio Antonio de Sourza e Almeida	2008 Summer	Shooting	NA
Kaio Mrcio Ferreira Costa de Almeida	2008 Summer	Swimming	NA
Kaio Mrcio Ferreira Costa de Almeida	2008 Summer	Swimming	NA
Kaio Mrcio Ferreira Costa de Almeida	2008 Summer	Swimming	NA
Luiza Tavares de Almeida	2008 Summer	Equestrianism	NA
Nair Felipe Pires de Almeida	2008 Summer	Handball	NA
Thiago Almeida	2008 Summer	Rowing	NA
Johanna Maria-Therese Almgren	2008 Summer	Football	NA
Anna Aleksandrovna Alminova	2008 Summer	Athletics	NA
Maria Laura Almiro	2008 Summer	Athletics	NA
Maria Laura Almiro	2008 Summer	Athletics	NA
Patricio Javier Almonacid Gonzlez	2008 Summer	Cycling	NA
Malin Therse Alshammar	2008 Summer	Swimming	NA
Malin Therse Alshammar	2008 Summer	Swimming	NA
Julio Alsogaray	2008 Summer	Sailing	NA
Lutz Altepost	2008 Summer	Canoeing	Bronze
Anja Althaus	2008 Summer	Handball	NA
Josmer Volmy "Jozy" Altidore	2008 Summer	Football	NA
Michael "Mike" Altman	2008 Summer	Rowing	NA
David Daniel lvarez Martnez	2008 Summer	Football	NA
Elider lvarez Beitar	2008 Summer	Boxing	NA
Melquades Javier "Melki" lvarez Caraballo	2008 Summer	Swimming	NA
Melquades Javier "Melki" lvarez Caraballo	2008 Summer	Swimming	NA
Sergio lvarez Boulet	2008 Summer	Weightlifting	NA
Yuri Alvear Orjuela	2008 Summer	Judo	NA
Romanos Iasonas Alyfantis	2008 Summer	Swimming	NA
Romanos Iasonas Alyfantis	2008 Summer	Swimming	NA
Romanos Iasonas Alyfantis	2008 Summer	Swimming	NA
Romanos Iasonas Alyfantis	2008 Summer	Swimming	NA
Carlos Eduardo Alzate Escobar	2008 Summer	Cycling	NA
Mohamed Amanissi	2008 Summer	Boxing	NA
Akgul Charievna Amanmuradova	2008 Summer	Tennis	NA
Catello Amarante	2008 Summer	Rowing	NA
Carmen Andreea Amariei (-Lingu)	2008 Summer	Handball	NA
Pablo "Pol" Amat Escud	2008 Summer	Hockey	Silver
Eyawomano Doreen Amata	2008 Summer	Athletics	NA
Eloise Michelle Amberger	2008 Summer	Synchronized Swimming	NA
Harald Ambros	2008 Summer	Equestrianism	NA
Efetobore "Efe" Ambrose Emuobo	2008 Summer	Football	Silver
Felizardo Silvestre Bumba Ambrsio	2008 Summer	Basketball	NA
Mohamed Mahmoud Amer	2008 Summer	Shooting	NA
Christine Amertil (-Ling)	2008 Summer	Athletics	NA
Mohamed Ameur	2008 Summer	Athletics	NA
Amir Amini	2008 Summer	Basketball	NA
Hasli Izwan Amir Hasan	2008 Summer	Shooting	NA
Salvatore Amitrano	2008 Summer	Rowing	NA
Seth Kwame Amoo	2008 Summer	Athletics	NA
Eugenio Amore	2008 Summer	Beach Volleyball	NA
Eduarda Idalina "Duda" Amorim-Taleska	2008 Summer	Handball	NA
Roman Amoyan	2008 Summer	Wrestling	Bronze
Marwa Al-Amri	2008 Summer	Wrestling	NA
Iryna Vitalivna Amshennikova	2008 Summer	Swimming	NA
Iryna Vitalivna Amshennikova	2008 Summer	Swimming	NA
Iryna Vitalivna Amshennikova	2008 Summer	Swimming	NA
An Jeong-Hwa	2008 Summer	Handball	Bronze
An Kum-Ae	2008 Summer	Judo	Silver
An Su-Gyeong	2008 Summer	Shooting	NA
Ana Paula Rodrigues-Belo	2008 Summer	Handball	NA
Ana Paula Rodrigues Connelly (-Rodrigues Henkel)	2008 Summer	Beach Volleyball	NA
Phara Anacharsis	2008 Summer	Athletics	NA
Mohsen Muhammad Abdul Mohsen Anany Youssef Mustapha	2008 Summer	Athletics	NA
Konstantinos "Kostas" Anastasiou	2008 Summer	Athletics	NA
Leopoldo Jos Andara Gonzlez	2008 Summer	Swimming	NA
Leopoldo Jos Andara Gonzlez	2008 Summer	Swimming	NA
Olaf van Andel	2008 Summer	Rowing	NA
Thomas Andergassen	2008 Summer	Gymnastics	NA
Thomas Andergassen	2008 Summer	Gymnastics	NA
Thomas Andergassen	2008 Summer	Gymnastics	NA
Thomas Andergassen	2008 Summer	Gymnastics	NA
Thomas Andergassen	2008 Summer	Gymnastics	NA
David Emil Andersen	2008 Summer	Basketball	NA
Mads Christian Kruse Andersen	2008 Summer	Rowing	Gold
nderson Lus de Abreu Oliveira	2008 Summer	Football	Bronze
Anderson de Oliveira Rodrigues	2008 Summer	Volleyball	Silver
Brett Franklin Anderson	2008 Summer	Baseball	Bronze
Kevin Anderson	2008 Summer	Tennis	NA
Kevin Anderson	2008 Summer	Tennis	NA
Lindsey Anderson (Olson-)	2008 Summer	Athletics	NA
Marvin Anderson	2008 Summer	Athletics	NA
Jonas Carl Andersson	2008 Summer	Swimming	NA
Jonas Carl Andersson	2008 Summer	Swimming	NA
Carlos Hernn Andica Andica	2008 Summer	Weightlifting	NA
Jakob Schitt Andkjr	2008 Summer	Swimming	NA
Jakob Schitt Andkjr	2008 Summer	Swimming	NA
Jakob Schitt Andkjr	2008 Summer	Swimming	NA
Kozue Ando	2008 Summer	Football	NA
Joanne Andraca	2008 Summer	Swimming	NA
Demetrius Cesar Andrade	2008 Summer	Boxing	NA
Francisco Catalo Rebelo Andrade	2008 Summer	Sailing	NA
Jayce Josefina Andrade Andrade	2008 Summer	Volleyball	NA
Marcia Yuleisi Andrades Mendoza	2008 Summer	Wrestling	NA
Bjrn Andrae	2008 Summer	Volleyball	NA
Andria Suntaque	2008 Summer	Football	Silver
ngel Luis Andreo Gabn	2008 Summer	Water Polo	NA
Georgy Aleksandrovich Andreyev	2008 Summer	Athletics	NA
Igor Valeryevich Andreyev	2008 Summer	Tennis	NA
Igor Valeryevich Andreyev	2008 Summer	Tennis	NA
Leonid Vladimirovich Andreyev	2008 Summer	Athletics	NA
Pavel Vladimirovich Andreyev	2008 Summer	Athletics	NA
Vera Sergeyevna Andreyeva	2008 Summer	Cycling	NA
Tojohanitra Tokin'aina Andriamanjatoarimanana	2008 Summer	Swimming	NA
Ottaviano Andriani	2008 Summer	Athletics	NA
Tatyana Valeryevna Andrianova	2008 Summer	Athletics	NA
Eleni Andriola	2008 Summer	Rhythmic Gymnastics	NA
Yekaterina Sergeyevna Andryushina	2008 Summer	Handball	Silver
Robert Sebastian Andrzejuk	2008 Summer	Fencing	Silver
Eric Ang	2008 Summer	Shooting	NA
Indra Angad-Gaur	2008 Summer	Fencing	NA
Vincent Atchouailou de Paul Angban	2008 Summer	Football	NA
Alberto Angelini	2008 Summer	Water Polo	NA
Nadine Marejke Angerer	2008 Summer	Football	Bronze
Matteo Angioletti	2008 Summer	Gymnastics	NA
Matteo Angioletti	2008 Summer	Gymnastics	NA
Matteo Angioletti	2008 Summer	Gymnastics	NA
Matteo Angioletti	2008 Summer	Gymnastics	NA
Matteo Angioletti	2008 Summer	Gymnastics	NA
Matteo Angioletti	2008 Summer	Gymnastics	NA
Benjamin Brou Angoua	2008 Summer	Football	NA
Deyanira Angulo Chias	2008 Summer	Badminton	NA
Maret Ani	2008 Summer	Tennis	NA
Maret Ani	2008 Summer	Tennis	NA
Mihaela Ani Senocico	2008 Summer	Handball	NA
Emma Iwebunor Ania	2008 Summer	Athletics	NA
Victor Chinedu Anichebe	2008 Summer	Football	Silver
Vida Anim	2008 Summer	Athletics	NA
Justin John Anlezark	2008 Summer	Athletics	NA
Christopher John "Chris" Anstey	2008 Summer	Basketball	NA
Carmelo Kyan Anthony	2008 Summer	Basketball	Gold
Darryn Anthony	2008 Summer	Weightlifting	NA
Mark Anthony	2008 Summer	Judo	NA
Michael E. "Mike" Anti	2008 Summer	Shooting	NA
Stavroula Antonakou	2008 Summer	Water Polo	NA
Aleksandra Viktorovna Antonova	2008 Summer	Athletics	NA
Olena Anatolivna Antonova	2008 Summer	Athletics	Bronze
Jitka Antoov	2008 Summer	Rowing	NA
