id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal	BMI
143	Desmond "Des" Abbott	M	1987	184	87	Australia	AUS	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	Bronze	25.697069943289222
144	Geoffrey Grant Abbott	M	1985	179	80	South Africa	RSA	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	NA	24.9680097375238
148	Kathryn "Katie" Abbott	F	1987	164	63	Canada	CAN	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Women's Three Person Keelboat	NA	23.423557406305772
153	Monica Cecilia Abbott	F	1985	191	88	United States	USA	2008 Summer	2008	Summer	Beijing	Softball	Softball Women's Softball	Silver	24.12214577451276
154	Khadija Abbouda	F	1968	165	57	Morocco	MAR	2008 Summer	2008	Summer	Beijing	Archery	Archery Women's Individual	NA	20.9366391184573
156	Mahmoud Abd El-Kader	M	1985	195	94	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Men's Volleyball	NA	24.720578566732414
157	Mohamed Ibrahim Abd El-Salam	M	1982	192	83	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Handball	Handball Men's Handball	NA	22.51519097222222
158	Noha Abd Rabo	F	1987	nan	nan	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Taekwondo	Taekwondo Women's Heavyweight	NA	
159	Reem Wa'il Abdalazem Abdalazem El-Bossaty	F	1993	167	60	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Duet	NA	21.51385851052386
159	Reem Wa'il Abdalazem Abdalazem El-Bossaty	F	1993	167	60	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	NA	21.51385851052386
160	Ali Abdalla Afringi	M	1983	163	57	Eritrea	ERI	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 5,000 metres	NA	21.453573713726524
198	Walid Abdel Maksoud	M	1979	nan	nan	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Handball	Handball Men's Handball	NA	
203	Ahmed Abdel Naeim	M	1985	197	87	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Men's Volleyball	NA	22.41748048133165
212	Yasser Abdel Rahman Sakr	M	1978	180	120	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Super-Heavyweight, Greco-Roman	NA	37.03703703703704
213	Samy Abdel Razek	M	1980	170	60	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Free Pistol, 50 metres	NA	20.761245674740486
225	Shaimaa Abdel-Latif-Hashad	F	1981	165	57	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Women's Air Rifle, 10 metres	NA	20.9366391184573
231	Mahmod Abdelaly	M	1967	nan	nan	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Air Pistol, 10 metres	NA	
233	Aziza Abdelfattah	F	1991	159	51	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	NA	20.173252640322772
234	Abdalla Abdelgadir El-Sheikh	M	1987	170	58	Sudan	SUD	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 1,500 metres	NA	20.069204152249135
238	Mohamed Abdellah	M	1968	170	70	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Air Rifle, 10 metres	NA	24.22145328719723
245	Abouelfetoh Abdelrazek	M	1987	nan	nan	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Handball	Handball Men's Handball	NA	
249	Mouni Abderrahim	F	1986	173	60	Algeria	ALG	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Women's Volleyball	NA	20.047445621303755
252	Youcef Abdi	M	1978	178	66	Australia	AUS	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 3,000 metres Steeplechase	NA	20.83070319404116
256	Abdihakim "Abdi" Abdirahman	M	1977	178	61	United States	USA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 10,000 metres	NA	19.252619618735007
257	Ali Abdo	M	1981	169	74	Australia	AUS	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Middleweight, Freestyle	NA	25.909456951787405
258	Hamza Abdo	M	1991	nan	nan	Palestine	PLE	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 50 metres Freestyle	NA	
277	Shaimaa Abdul Aziz	F	1981	160	53	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Table Tennis	Table Tennis Women's Singles	NA	20.703125
299	Dana Abdul Razak (Hussain-)	F	1986	163	56	Iraq	IRQ	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 100 metres	NA	21.077195227520797
314	Rukayatu "Ruky" Abdulai	F	1986	180	59	Canada	CAN	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Long Jump	NA	18.209876543209877
321	Ahmad Hassan Abdullah	M	1981	164	55	Qatar	QAT	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 10,000 metres	NA	20.44913741820345
341	lqar Abdulov	M	1981	175	74	Azerbaijan	AZE	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Middleweight, Greco-Roman	NA	24.16326530612245
343	Abir Abdulrahman Khalil Mahmoud Khalil	F	1992	162	72	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Weightlifting	Weightlifting Women's Light-Heavyweight	NA	27.434842249657063
346	Shaza Yahia Nazih Abdulrahman El-Sayed	F	1993	170	59	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	NA	20.41522491349481
350	Mohamed Abdultwab Ibrahim Abd El-Baki	M	1987	162	69	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Weightlifting	Weightlifting Men's Featherweight	NA	26.29172382258802
353	Rasul Abduraim	M	1989	183	74	Kyrgyzstan	KGZ	2008 Summer	2008	Summer	Beijing	Taekwondo	Taekwondo Men's Featherweight	NA	22.096807907073966
357	Yusup Abdusalomov	M	1978	170	84	Tajikistan	TJK	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Light-Heavyweight, Freestyle	Silver	29.06574394463668
371	Shinnosuke Abe	M	1979	179	91	Japan	JPN	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	NA	28.40111107643332
382	Soha Abed Elaal	F	1973	nan	nan	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Archery	Archery Women's Individual	NA	
390	Brooke Abel	F	1988	163	52	United States	USA	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	NA	19.57168128269788
395	Jennifer Abel	F	1992	160	62	Canada	CAN	2008 Summer	2008	Summer	Beijing	Diving	Diving Women's Springboard	NA	24.21875
396	Katja Abel	F	1983	165	55	Germany	GER	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Individual All-Around	NA	20.2020202020202
396	Katja Abel	F	1983	165	55	Germany	GER	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Team All-Around	NA	20.2020202020202
396	Katja Abel	F	1983	165	55	Germany	GER	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Floor Exercise	NA	20.2020202020202
396	Katja Abel	F	1983	165	55	Germany	GER	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Uneven Bars	NA	20.2020202020202
396	Katja Abel	F	1983	165	55	Germany	GER	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Balance Beam	NA	20.2020202020202
402	Arthur Abele	M	1986	184	85	Germany	GER	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Decathlon	NA	25.10633270321361
428	Elvan Abeylegesse	F	1983	159	40	Turkey	TUR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 5,000 metres	Silver	15.822158933586488
428	Elvan Abeylegesse	F	1983	159	40	Turkey	TUR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 10,000 metres	NA	15.822158933586488
432	Koutoua Francis Abia	M	1966	180	80	Cote d'Ivoire	CIV	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Kayak Singles, 500 metres	NA	24.691358024691358
432	Koutoua Francis Abia	M	1966	180	80	Cote d'Ivoire	CIV	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Kayak Singles, 1,000 metres	NA	24.691358024691358
433	Pablo Abin Vicen	M	1985	177	68	Spain	ESP	2008 Summer	2008	Summer	Beijing	Badminton	Badminton Men's Singles	NA	21.7051294327939
439	Sagat Abikeyeva	F	1981	160	78	Kazakhstan	KAZ	2008 Summer	2008	Summer	Beijing	Judo	Judo Women's Half-Heavyweight	NA	30.46875
440	Mitsuhiro Abiko	M	1989	169	62	Japan	JPN	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 4 x 400 metres Relay	NA	21.707923392038094
449	Inga Eduardovna Abitova	F	1982	164	58	Russia	RUS	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 10,000 metres	NA	21.564544913741823
471	Ashraf Abou El-Hassan	M	1975	186	86	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Men's Volleyball	NA	24.85836512891664
488	Ibrahim Mohamedin Aboubaker	M	1983	190	65	Qatar	QAT	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Triple Jump	NA	18.005540166204987
514	Ara Abrahamian	M	1975	191	84	Sweden	SWE	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Light-Heavyweight, Greco-Roman	NA	23.025684602944
516	Clyde Abrahams	M	1979	178	68	South Africa	RSA	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	NA	21.461936624163616
541	Andrey Viktorovich Abramov	M	1984	176	70	Russia	RUS	2008 Summer	2008	Summer	Beijing	Archery	Archery Men's Individual	NA	22.598140495867767
541	Andrey Viktorovich Abramov	M	1984	176	70	Russia	RUS	2008 Summer	2008	Summer	Beijing	Archery	Archery Men's Team	NA	22.598140495867767
556	Arnaldo Lus Isaas Abrantes	M	1987	183	72	Portugal	POR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 200 metres	NA	21.49959688255845
568	Morais Santos Abreu	M	1968	188	73	Angola	ANG	2008 Summer	2008	Summer	Beijing	Beach Volleyball	Beach Volleyball Men's Beach Volleyball	NA	20.654142145767317
580	Svetlana Olegovna Abrosimova	F	1980	188	77	Russia	RUS	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Women's Basketball	Bronze	21.785875961973744
583	Julien Absalon	M	1981	180	68	France	FRA	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Mountainbike, Cross-Country	Gold	20.987654320987655
589	Najmeh Abtin	F	1983	160	57	Iran	IRI	2008 Summer	2008	Summer	Beijing	Archery	Archery Women's Individual	NA	22.265624999999996
590	Mohamed Abu Abdullah	M	1981	173	74	Bangladesh	BAN	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 100 metres	NA	24.725182932941294
600	Nagmeldin Ali Abubakr	M	1986	172	63	Sudan	SUD	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 400 metres	NA	21.295294753921038
604	Folashade "Shade" Abugan	F	1991	150	64	Nigeria	NGR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 400 metres	NA	28.444444444444446
604	Folashade "Shade" Abugan	F	1991	150	64	Nigeria	NGR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 4 x 400 metres Relay	NA	28.444444444444446
620	Kanat Kalizhanovich Abutalipov	M	1983	168	56	Kazakhstan	KAZ	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Bantamweight	NA	19.841269841269842
623	Irina Alekseyevna Abysova	F	1981	175	56	Russia	RUS	2008 Summer	2008	Summer	Beijing	Triathlon	Triathlon Women's Olympic Distance	NA	18.285714285714285
627	Andreea Roxana Acatrinei	F	1992	150	40	Romania	ROU	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Individual All-Around	NA	17.77777777777778
627	Andreea Roxana Acatrinei	F	1992	150	40	Romania	ROU	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Team All-Around	Bronze	17.77777777777778
627	Andreea Roxana Acatrinei	F	1992	150	40	Romania	ROU	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Floor Exercise	NA	17.77777777777778
627	Andreea Roxana Acatrinei	F	1992	150	40	Romania	ROU	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Balance Beam	NA	17.77777777777778
651	Jos Eduardo Acevedo Herrera	M	1986	179	65	Venezuela	VEN	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 200 metres	NA	20.286507911738088
663	Sharath Kamal Achanta	M	1982	186	85	India	IND	2008 Summer	2008	Summer	Beijing	Table Tennis	Table Tennis Men's Singles	NA	24.569314371603657
675	Onochie Lawrence "Larry" Achike	M	1975	188	75	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Triple Jump	NA	21.220009053870527
687	Haykel Al-Achouri	M	1985	184	84	Tunisia	TUN	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Light-Heavyweight, Greco-Roman	NA	24.8109640831758
716	Lautaro Germn Acosta	M	1988	168	72	Argentina	ARG	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	Gold	25.51020408163265
719	Luz Mercedes Acosta Valdez	F	1981	164	63	Mexico	MEX	2008 Summer	2008	Summer	Beijing	Weightlifting	Weightlifting Women's Middleweight	NA	23.423557406305772
723	Osmay Acosta Duarte	M	1985	188	91	Cuba	CUB	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Heavyweight	Bronze	25.746944318696244
725	Roslandy del Valle Acosta Alvarado	F	1992	190	62	Venezuela	VEN	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Women's Volleyball	NA	17.174515235457065
729	Robert Acquafresca	M	1988	184	70	Italy	ITA	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	NA	20.6758034026465
737	Amelia Lynn "Amy" Acuff (-Harvey)	F	1975	188	66	United States	USA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's High Jump	NA	18.673607967406067
738	Crox Ernesto Acua Rodrguez	M	1990	192	89	Venezuela	VEN	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 200 metres Freestyle	NA	24.14279513888889
759	Ahmed Adam	M	1988	162	60	Sudan	SUD	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 50 metres Freestyle	NA	22.86236854138089
761	Gal Adam	M	1986	190	80	Mauritius	MRI	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 100 metres Freestyle	NA	22.1606648199446
795	Tomasz Adamiec	M	1982	171	69.5	Poland	POL	2008 Summer	2008	Summer	Beijing	Judo	Judo Men's Half-Lightweight	NA	
824	Luke Kendall Adams	M	1977	189	70	Australia	AUS	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 20 kilometres Walk	NA	19.596315892612186
824	Luke Kendall Adams	M	1977	189	70	Australia	AUS	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 50 kilometres Walk	NA	19.596315892612186
846	Valerie Kasanita Adams-Vili (-Price)	F	1985	193	120	New Zealand	NZL	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Shot Put	Gold	32.21562994979731
849	Filip Kamil Adamski	M	1983	189	87	Germany	GER	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Coxless Fours	NA	24.355421180818006
876	Jean Renaud Adde	M	1971	181	70	France	FRA	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Three-Day Event, Individual	NA	21.366869143188545
876	Jean Renaud Adde	M	1971	181	70	France	FRA	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Three-Day Event, Team	NA	21.366869143188545
888	Jangy McKinley Addy	M	1985	188	88	Liberia	LBR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Decathlon	NA	24.89814395654142
896	Olubayo Adefemi	M	1986	181	82	Nigeria	NGR	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	Silver	25.029760996306585
908	Ayodele "Dele" Adeleye	M	1989	190	80	Nigeria	NGR	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	Silver	22.1606648199446
912	Beatrice Adelizzi	F	1989	175	67	Italy	ITA	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Duet	NA	21.877551020408163
929	Berhane Adere Debala	F	1973	170	50	Ethiopia	ETH	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Marathon	NA	17.301038062283737
939	Kamal Bahadur Adhikari	M	1977	163	69	Nepal	NEP	2008 Summer	2008	Summer	Beijing	Weightlifting	Weightlifting Men's Lightweight	NA	25.970115548195263
943	Arman Adikyan	M	1985	168	66	Armenia	ARM	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Welterweight, Greco-Roman	NA	23.3843537414966
980	Rebecca "Becky" Adlington	F	1989	179	70	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 400 metres Freestyle	Gold	21.847008520333322
980	Rebecca "Becky" Adlington	F	1989	179	70	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 800 metres Freestyle	Gold	21.847008520333322
1017	Nathan Ghar-Jun Adrian	M	1989	198	100	United States	USA	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 4 x 100 metres Freestyle Relay	Gold	25.507601265177023
1022	Sharnol Leonard Adriana	M	1971	185	95	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	NA	27.75748721694668
1023	Adriana "Adrianinha" Moiss Pinto	F	1979	170	65	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Women's Basketball	NA	22.49134948096886
1024	Elisngela Maria Adriano	F	1972	180	96	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Discus Throw	NA	29.62962962962963
1028	Fredua Koranteng "Freddy" Adu	M	1989	170	66	United States	USA	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	NA	22.837370242214536
1032	Serhiy Mykolaiovych Advena	M	1984	190	82	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 200 metres Freestyle	NA	22.71468144044321
1032	Serhiy Mykolaiovych Advena	M	1984	190	82	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 200 metres Butterfly	NA	22.71468144044321
1036	Olga Olegovna Adzhigerskaya	F	1982	192	65	Kazakhstan	KAZ	2008 Summer	2008	Summer	Beijing	Handball	Handball Women's Handball	NA	17.63237847222222
1039	Silulu A'etonu (-Grey)	F	1984	170	59	American Samoa	ASA	2008 Summer	2008	Summer	Beijing	Judo	Judo Women's Half-Middleweight	NA	20.41522491349481
1056	Mario Aerts	M	1975	182	68	Belgium	BEL	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Road Race, Individual	NA	20.528921627822726
1067	Hamed Afagh Eslamieh	M	1983	188	82	Iran	IRI	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Men's Basketball	NA	23.20054323223178
1071	Kseniya Dmitriyevna Afanasyeva	F	1992	158	48	Russia	RUS	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Individual All-Around	NA	19.22768787053357
1071	Kseniya Dmitriyevna Afanasyeva	F	1992	158	48	Russia	RUS	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Team All-Around	NA	19.22768787053357
1071	Kseniya Dmitriyevna Afanasyeva	F	1992	158	48	Russia	RUS	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Floor Exercise	NA	19.22768787053357
1071	Kseniya Dmitriyevna Afanasyeva	F	1992	158	48	Russia	RUS	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Uneven Bars	NA	19.22768787053357
1071	Kseniya Dmitriyevna Afanasyeva	F	1992	158	48	Russia	RUS	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Balance Beam	NA	19.22768787053357
1097	Georgios Afroudakis	M	1977	194	103	Greece	GRE	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Men's Water Polo	NA	27.367414177914764
1098	Khristos Afroudakis	M	1984	188	88	Greece	GRE	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Men's Water Polo	NA	24.89814395654142
1114	Luca Agamennoni	M	1981	187	93	Italy	ITA	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Quadruple Sculls	Silver	26.594984128799794
1149	Neha Aggarwal	F	1990	170	67	India	IND	2008 Summer	2008	Summer	Beijing	Table Tennis	Table Tennis Women's Singles	NA	23.183391003460205
1164	Naroa Agirre Kamio	F	1979	177	63	Spain	ESP	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Pole Vault	NA	20.109164033323758
1169	Marilyn Agliotti	F	1979	172	58	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Women's Hockey	Gold	19.605191995673337
1190	Simon Agoston	M	1977	179	64	Austria	AUT	2008 Summer	2008	Summer	Beijing	Triathlon	Triathlon Men's Olympic Distance	NA	19.97440779001904
1203	Renzo Pasquale Zeglio Agresta	M	1985	181	76	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Men's Sabre, Individual	NA	23.198315069747565
1204	Lindy Brigitte Agricole (Leveau-)	F	1974	175	70	Seychelles	SEY	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Javelin Throw	NA	22.857142857142858
1212	Ral Alfonso Aguayo Saladin	M	1981	189	82	Dominican Republic	DOM	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Men's One Person Dinghy	NA	22.955684331345708
1220	Sergio Leonel Agero del Castillo	M	1988	172	74	Argentina	ARG	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	Gold	25.01352082206598
1221	Taismary "Tai" Agero Leiva (-Botteghi)	F	1977	175	70	Italy	ITA	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Women's Volleyball	NA	22.857142857142858
1234	Alessandra Aguilar Morn	F	1978	165	50	Spain	ESP	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Marathon	NA	18.365472910927455
1240	Elisabeth "Elisa" Aguilar Lpez	F	1977	172	75	Spain	ESP	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Women's Basketball	NA	25.35154137371552
1247	Iaki Aguilar Vicente	M	1984	189	82	Spain	ESP	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Men's Water Polo	NA	22.955684331345708
1251	Karel Aguilar Chacn	M	1980	175	85	Cuba	CUB	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Canadian Doubles, 500 metres	NA	27.75510204081633
1251	Karel Aguilar Chacn	M	1980	175	85	Cuba	CUB	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Canadian Doubles, 1,000 metres	NA	27.75510204081633
1269	Jessica Carolina Aguilera Aguilera	F	1985	167	57	Nicaragua	NCA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 100 metres	NA	20.43816558499767
1278	Damaris Gabriela Aguirre Aldaz	F	1977	163	75	Mexico	MEX	2008 Summer	2008	Summer	Beijing	Weightlifting	Weightlifting Women's Heavyweight	NA	28.228386465429637
1283	Jeinkler Ernesto Aguirre Manso	M	1990	165	57	Cuba	CUB	2008 Summer	2008	Summer	Beijing	Diving	Diving Men's Platform	NA	20.9366391184573
1290	Marcelo Vctor Aguirre	M	1993	174	66	Paraguay	PAR	2008 Summer	2008	Summer	Beijing	Table Tennis	Table Tennis Men's Singles	NA	21.799445105033687
1313	Robyn Mokihana Ah Mow-Santos	F	1976	172	67	United States	USA	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Women's Volleyball	Silver	22.6473769605192
1314	Juliette Chantal Ah-Wan	F	1981	155	57	Seychelles	SEY	2008 Summer	2008	Summer	Beijing	Badminton	Badminton Mixed Doubles	NA	23.72528616024974
1316	Feta Ahamada	F	1987	160	50	Comoros	COM	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 100 metres	NA	19.53125
1317	Younes Al-Ahamdi	M	1976	167	60	Morocco	MAR	2008 Summer	2008	Summer	Beijing	Judo	Judo Men's Extra-Lightweight	NA	21.51385851052386
1354	Johanna Maria Helne Ahlm	F	1988	175	69	Sweden	SWE	2008 Summer	2008	Summer	Beijing	Handball	Handball Women's Handball	NA	22.53061224489796
1356	Christian Ahlmann	M	1975	189	80	Germany	GER	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Jumping, Individual	NA	22.395789591556788
1356	Christian Ahlmann	M	1975	189	80	Germany	GER	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Jumping, Team	NA	22.395789591556788
1381	Abdalla Ahmed	M	1984	198	72	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Men's Volleyball	NA	18.365472910927455
1382	Abdel Latif Ahmed	M	1984	202	90	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Men's Volleyball	NA	22.05666111165572
1398	Heba Ahmed	F	1985	176	72	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Women's Single Sculls	NA	23.243801652892564
1410	Nasir Ahmed	M	1985	165	65	Pakistan	PAK	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	NA	23.875114784205692
